risk_factor,mediator,cause,mf,mf_lo,mf_hi
Diet high in sugar-sweetened beverages,High fasting plasma glucose,Ischaemic stroke,1.0,1.0,1.0
Diet high in sugar-sweetened beverages,High fasting plasma glucose,Lower extremity peripheral arterial disease,1.0,1.0,1.0
Diet high in sugar-sweetened beverages,High fasting plasma glucose,Chronic kidney disease,1.0,1.0,1.0
Diet high in sugar-sweetened beverages,High fasting plasma glucose,Drug-susceptible tuberculosis,1.0,1.0,1.0
Diet high in sugar-sweetened beverages,High fasting plasma glucose,Multidrug-resistant tuberculosis without extensive drug resistance,1.0,1.0,1.0
Diet high in sugar-sweetened beverages,High fasting plasma glucose,Extensively drug-resistant tuberculosis,1.0,1.0,1.0
Diet high in sugar-sweetened beverages,High fasting plasma glucose,Diabetes mellitus type 2,1.0,1.0,1.0
Diet low in omega-6 polyunsaturated fatty acids,High LDL cholesterol,Ischaemic heart disease,0.002,,
Diet low in omega-6 polyunsaturated fatty acids,High LDL cholesterol,Ischaemic stroke,1.0,1.0,1.0
Diet high in trans fatty acids,High LDL cholesterol,Ischaemic heart disease,0.15,0.024,0.24
Diet high in sodium,High systolic blood pressure,Ischaemic heart disease,1.0,1.0,1.0
Diet high in sodium,High systolic blood pressure,Ischaemic stroke,1.0,1.0,1.0
Diet high in sodium,High systolic blood pressure,Intracerebral haemorrhage,1.0,1.0,1.0
Diet high in sodium,High systolic blood pressure,Subarachnoid haemorrhage,1.0,1.0,1.0
Diet high in sodium,High systolic blood pressure,Hypertensive heart disease,1.0,1.0,1.0
Diet high in sodium,High systolic blood pressure,Atrial fibrillation and flutter,1.0,1.0,1.0
Diet high in sodium,High systolic blood pressure,Aortic aneurysm,1.0,1.0,1.0
Diet high in sodium,High systolic blood pressure,Lower extremity peripheral arterial disease,1.0,1.0,1.0
Diet high in sodium,High systolic blood pressure,Chronic kidney disease,1.0,1.0,1.0
Intimate partner violence,Unsafe sex,HIV/AIDS resulting in other diseases,1.0,1.0,1.0
Intimate partner violence,Unsafe sex,HIV/AIDS - Drug-susceptible Tuberculosis,1.0,1.0,1.0
Intimate partner violence,Unsafe sex,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1.0,1.0,1.0
Intimate partner violence,Unsafe sex,HIV/AIDS - Extensively drug-resistant Tuberculosis,1.0,1.0,1.0
Sexual violence against children,Unsafe sex,HIV/AIDS resulting in other diseases,1.0,1.0,1.0
Sexual violence against children,High alcohol use,Alcohol use disorders,1.0,1.0,1.0
Sexual violence against children,Unsafe sex,HIV/AIDS - Drug-susceptible Tuberculosis,1.0,1.0,1.0
Sexual violence against children,Unsafe sex,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1.0,1.0,1.0
Sexual violence against children,Unsafe sex,HIV/AIDS - Extensively drug-resistant Tuberculosis,1.0,1.0,1.0
Low physical activity,High fasting plasma glucose,Ischaemic heart disease,0.144,0.115,0.176
Low physical activity,High fasting plasma glucose,Ischaemic stroke,0.078,0.032,0.138
Low physical activity,High fasting plasma glucose,Lower extremity peripheral arterial disease,1.0,1.0,1.0
Low physical activity,High fasting plasma glucose,Chronic kidney disease,1.0,1.0,1.0
Low physical activity,High fasting plasma glucose,Drug-susceptible tuberculosis,1.0,1.0,1.0
Low physical activity,High fasting plasma glucose,Multidrug-resistant tuberculosis without extensive drug resistance,1.0,1.0,1.0
Low physical activity,High fasting plasma glucose,Extensively drug-resistant tuberculosis,1.0,1.0,1.0
Low physical activity,High fasting plasma glucose,Diabetes mellitus type 2,1.0,1.0,1.0
High fasting plasma glucose,High LDL cholesterol,Ischaemic heart disease,0.035,0.024,0.049
High fasting plasma glucose,High LDL cholesterol,Ischaemic stroke,0.042,0.028,0.062
High body-mass index,High fasting plasma glucose,Ischaemic heart disease,0.149,0.098,0.204
High body-mass index,High systolic blood pressure,Ischaemic heart disease,0.312,0.281,0.344
High body-mass index,High LDL cholesterol,Ischaemic heart disease,0.1,0.053,0.149
High body-mass index,High fasting plasma glucose,Ischaemic stroke,0.217,0.122,0.306
High body-mass index,High systolic blood pressure,Ischaemic stroke,0.647,0.566,0.724
High body-mass index,High LDL cholesterol,Ischaemic stroke,0.034,0.002,0.078
High body-mass index,High fasting plasma glucose,Intracerebral haemorrhage,0.222,0.125,0.325
High body-mass index,High systolic blood pressure,Intracerebral haemorrhage,0.651,0.575,0.727
High body-mass index,High systolic blood pressure,Subarachnoid haemorrhage,0.651,0.575,0.727
High body-mass index,High systolic blood pressure,Hypertensive heart disease,1.0,1.0,1.0
High body-mass index,High systolic blood pressure,Atrial fibrillation and flutter,0.31,0.281,0.339
High body-mass index,High systolic blood pressure,Aortic aneurysm,1.0,1.0,1.0
High body-mass index,High fasting plasma glucose,Lower extremity peripheral arterial disease,1.0,1.0,1.0
High body-mass index,High fasting plasma glucose,Chronic kidney disease,0.496,0.389,0.612
High body-mass index,High systolic blood pressure,Chronic kidney disease,0.504,0.388,0.611
High body-mass index,High fasting plasma glucose,Drug-susceptible tuberculosis,1.0,1.0,1.0
High body-mass index,High fasting plasma glucose,Multidrug-resistant tuberculosis without extensive drug resistance,1.0,1.0,1.0
High body-mass index,High fasting plasma glucose,Extensively drug-resistant tuberculosis,1.0,1.0,1.0
High body-mass index,High fasting plasma glucose,Diabetes mellitus type 2,1.0,1.0,1.0
